timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756567380000,2025-08-30 18:53:00,8,5,30,15,3.3786714215497275e-05,3.3786714215497275e-05,3.191205326908481e-05,3.1947242414513556e-05,413.83811234930585
1756567440000,2025-08-30 18:54:00,8,5,30,15,3.1947242414513556e-05,3.1947242414513556e-05,2.9265229166695537e-05,2.9265229166695537e-05,622.4593018911669
1756567500000,2025-08-30 18:55:00,8,5,30,15,2.9265229166695537e-05,3.0611585029543184e-05,2.7338439390634427e-05,3.0611585029543184e-05,1056.6512649403367
1756567560000,2025-08-30 18:56:00,8,5,30,15,3.0611585029543184e-05,3.0611585029543184e-05,2.8487732901636397e-05,2.8487732901636397e-05,595.4241719112905
1756567620000,2025-08-30 18:57:00,8,5,30,15,2.8487732901636397e-05,3.074033945640049e-05,2.8428955875639315e-05,3.032159693763745e-05,719.0947191523094
1756567680000,2025-08-30 18:58:00,8,5,30,15,3.032159693763745e-05,3.1271601640975754e-05,3.032159693763745e-05,3.123518758429506e-05,455.7397640273533
1756567740000,2025-08-30 18:59:00,8,5,30,15,3.123518758429506e-05,3.539559811806858e-05,3.123518758429506e-05,3.4841223691232774e-05,1415.5022970734567
1756567800000,2025-08-30 19:00:00,8,5,30,15,3.4841223691232774e-05,3.708009895151964e-05,3.467602662853117e-05,3.708009895151964e-05,717.9821003886252
1756567860000,2025-08-30 19:01:00,8,5,30,15,3.708009895151964e-05,4.3391102714580465e-05,3.708009895151964e-05,4.3391102714580465e-05,2302.554677379738
1756567920000,2025-08-30 19:02:00,8,5,30,15,4.3391102714580465e-05,4.618037876305871e-05,4.187657801260951e-05,4.618037876305871e-05,1449.9577117000174
1756567980000,2025-08-30 19:03:00,8,5,30,15,4.618037876305871e-05,4.8072018590038556e-05,4.303962109809904e-05,4.350510790443675e-05,1162.939105526368
1756568040000,2025-08-30 19:04:00,8,5,30,15,4.350510790443675e-05,4.4033660248419173e-05,3.9559975937871355e-05,3.994158715127766e-05,1676.724045350822
